182655274	369094006	19378698	884442647	839448908	672112294	3705703
789568333	139159155	719859124	196572903	367580933	670473349	98321333
159771167	362709716	911715470	449907932	371323396	547273194	383456282
573963016	905729342	812623604	145307040	207408197	599918887	9939148
995047082	604752594	828698984	930077518	325766864	58916358	891106024
774960127	516662895	401880600	284317567	480475276	727700806	985145193
509902189	101330039	120041831	726343073	264163859	676989860	627674980
409903610	225698083	312546436	533308181	958522060	162236462	951843724
801536837	496073610	768168544	316951079	768005345	383960198	857068657
726807936	520261348	7942661	580434988	343483987	750633990	496197945
769035490	653102275	430580501	119295999	587560130	26253932	730326378
893128985	513430476	462795334	780787652	826766196	86898490	878876654
90754262	168389795	583355415	382913990	712372191	234623609	746107392
808597260	36564223	504763772	530848429	159814831	466750393	999709741
790360322	437143153	341793688	685095543	783466990	545435536	63078090
260565259	104819643	252135901	201804095	8208085	104505453	214986003
635220050	321954436	142817861	79181793	250075499	816551027	647931538
852099416	528023668	100285037	649862896	798380255	259830599	137814832
345384857	366212482	4572258	900163388	157616008	276098637	810746862
339890230	739539324	988492794	655106119	318710335	507141721	118752537
582315424	203032603	953652298	829935473	494063729	369700824	469778984
472276362	461586965	570743534	974143426	866539641	439042779	750363634
466628633	737705038	128551167	339725670	937886799	181299856	124264539
75681161	149969345	41447819	221114630	318514474	485604797	749769045
103381981	789500547	516407209	293969851	157214244	803561788	387821945
243943586	188766658	675222142	142267413	166682517	897276990	737590433
308813910	964379076	513921579	800929972	416771713	703417328	342782971
137255242	764774052	158353031	937603040	37254389	341475586	35421503
259129178	356030287	323994064	349387271	567342921	494502625	71207641
240008539	770874110	968517335	7522871	284163768	389947825	104274264
185532452	817109155	530858196	584740568	765056605	528767801	325162431
199354673	337070472	798872768	824638066	689538811	360825815	500470090
545242286	9637023	315317221	912943832	562372714	879755277	224990389
629056639	283580467	934716755	417917188	502616558	348706341	899893284
232367389	842641683	691065142	805232287	429958436	259710097	558699543
528400948	420000793	329398398	244437937	132895817	540145682	691704080
429733096	753655097	107002444	111750840	876366340	467387382	4702619
567662028	790999659	39375287	541113997	197627826	136103364	519957432
104159042	726965797	469178220	790275819	628656072	437376250	364720756
392413344	470748249	964733199	979497088	829973034	455402690	216162752
625347836	746583455	413132335	317784646	45197992	222045018	107987571
855300913	514296822	538771677	938423778	961972442	820056476	397722856
182741238	116971056	904418226	844202032	131401700	578018035	276254334
466760187	932923429	969090379	648253708	996873167	180464703	575144367
103410719	59279210	738887781	539060813	706209031	914601292	154691574
604307665	548400494	168392875	531312019	381629443	223216492	250386387
710864386	857874119	609967259	117352197	962228900	628494297	889529835
608868667	174316900	584910184	204130397	847349098	792457666	51466485
612775629	69001936	800569378	50339019	186471854	99728841	413020208
726351632	89617234	804929802	59987551	2672061	558410821	232090447
616916452	659494199	345490699	877601685	486568149	430495136	346532191
203943280	293599791	818983720	249170928	91320962	68372949	58316919
44402605	118181154	499113032	295563408	853675327	298266353	10496694
760337081	503228396	69238436	814678411	159064022	757783596	459601110
230830447	492343240	124883260	689768608	567707239	158295539	500477722
977398321	301688878	87967227	780016260	784636219	260407647	200203917
755132814	683983826	922515058	794967306	346392823	396638006	300140836
885756267	393224159	153450653	339386368	833867964	575654090	665248306
471864512	915002519	122449454	388058260	530943777	886105199	167301023
317709134	829884453	852842701	874286961	945948940	498975440	887739993
120388839	881222583	862761625	699573850	843527122	743937154	100362810
777175699	385736450	203169796	364953391	200272046	63393255	331242389
614792517	423468685	433726430	421490686	972041099	374621978	258455470
466515199	423201930	456895570	32626986	608358777	291467792	703060321
596385267	423059197	359933548	558594166	178904855	619643631	693424729
338666397	346911941	305812099	566220923	874775183	307730958	865770396
864107490	925991746	185358471	167944373	984502642	175946184	292873766
392005608	87819914	243431466	772138440	314189349	505172820	466279644
784097882	565086445	148678072	416863171	812861670	222718116	333737061
484888322	922238033	535774984	419281470	153410865	533539425	61157573
590826590	584008630	646354030	168484380	162313329	722265273	899629764
428037853	758046975	878454751	554766866	172053497	485591780	416108074
184820579	424663542	970594909	461080951	671360497	876084721	615839173
65799569	145616290	415101689	360056252	82294112	400204370	742412213
387873255	587007645	658054642	269818316	933473610	170978495	419003414
600238523	477196336	437604859	758411994	165794695	565785585	401546193
968979403	455703725	607752523	832318447	612329261	931808008	973646489
734682111	677881211	47803070	835033608	82482029	258034472	977037036
581079754	319045219	262591044	964318539	256235922	756845565	526523953
767112194	696477813	915415368	313301602	434138721	758039356	471992590
937649243	2381257	202187302	222693784	504214247	480875884	678148348
897640797	717613543	729482626	276567179	842628761	47752496	26898726
546376945	13001511	368344969	135783613	174269761	879863163	691785512
178084912	736951151	532774799	800205922	214122892	193185318	60836773
650218505	715815118	13649092	204618708	881981973	531399866	251566250
926726121	866458090	872894303	375463379	597869183	208311218	908855570
290245854	853095289	182056841	388358159	276557113	228129197	400446660
119155090	822621649	595126773	495199618	734481718	395149593	352170653
572944958	760096373	675584050	875944596	785862184	177811390	963940845
460264650	656369440	717747125	35310829	576230193	250139881	239756001
385056522	90003999	925426545	950515642	291250668	1765982	903432086
505783620	869740985	427231947	618549243	474734525	277141140	780323070
86283430	772365066	376114254	76133879	434476980	427982581	446046320
290904014	985817963	830518229	650542979	724563964	352673235	527022600
264653486	628167732	627153416	139195780	380585798	711030268	771899721
455737470	79719336	393200012	454859869	230474019	687703562	316244585
173803426	71746379	921267518	919922985	919417854	68379432	335503414
933616886	389195989	261028534	788039528	808399040	329980012	872208092
8880889	599268012	10905023	396572351	224809760	46839184	353854607
517509999	602788441	188490151	513350121	479583690	830268991	541493827
16427971	553915461	678217846	875891034	304487916	219736633	924518974
977777380	916291916	778437293	830893945	244593751	457353035	391594799
633378964	445425540	177664096	127129224	200063561	121351397	734924296
792014623	744293103	269052997	485233139	491293427	261881597	358666537
896759275	434408770	101246745	725559445	81589437	430324896	623280408
625380396	544713539	547937220	90148565	645835007	726212469	402703641
533971195	240953870	851118096	554265939	581475194	435252074	984857948
177388088	488346574	883757566	986187335	458166515	800919358	144224072
766773862	434453636	333993777	51680393	641110317	790657623	231320192
